"","fat","protein.num","sugar.num","energy.num","mass.female","gestation.month","lacatation.months","mass.litter","repro.output","dev.stage.at.birth","diet","arid","biome","Australia","order","family","spp","fat.log10","fat.logit","mass.log10","lemurs"
"63",10.9,7.3,5.6,1.64,915,0.73,4.5,1,0.001,0,"carnivore","no","terrestrial","Australia","Dasyuromorphia","Dasyuridae","Dasyurus viverrinus",1.03742649794062,-2.10099654524167,2.96142109406645,"not.a.lemur"
"64",11,9.5,5.9,1.79,1906,0.42,3.3,1,5e-04,0,"omnivore","no","terrestrial","Australia","Didelphimorphia","Didelphidae","Didelphis virginiana",1.04139268515823,-2.09074109693377,3.28012289630231,"not.a.lemur"
"65",4,6,12.5,1.21,5500,0.94,10.5,0.4,7e-05,0,"herbivore","yes","terrestrial","Australia","Diprotodontia","Macropodidae","Macropus eugenii",0.602059991327962,-3.17805383034795,3.74036268949424,"not.a.lemur"
"66",6.1,7.2,NA,NA,26025,1.1,10.3,0.8,3e-05,0,"herbivore","yes","terrestrial","Australia","Diprotodontia","Macropodidae","Macropus rufus",0.785329835010767,-2.73394161503495,4.41539073818257,"not.a.lemur"
"67",7.2,6.8,10.9,1.48,12425,0.98,14.5,0.6,5e-05,0,"herbivore","yes","terrestrial","Australia","Diprotodontia","Macropodidae","Macropus rufogriseus",0.857332496431269,-2.55636561377014,4.09429639740537,"not.a.lemur"
"68",10.4,10.3,2.5,1.65,2900,0.9,8,0.4,1e-04,0,"herbivore","yes","terrestrial","Australia","Diprotodontia","Macropodidae","Setonix brachyurus",1.01703333929878,-2.15354951383356,3.46239799789896,"not.a.lemur"
"69",7.1,8,8.1,1.44,4000,1,9,0.4,1e-04,0,"herbivore","no","terrestrial","Australia","Diprotodontia","Macropodidae","Thylogale billardierii",0.851258348719075,-2.57142886177252,3.60205999132796,"not.a.lemur"
"70",4.4,7,11,1.25,2150,0.58,6.5,2,9e-04,0,"omnivore","yes","terrestrial","Australia","Diprotodontia","Phalangeridae","Trichosurus vulpecula",0.643452676486187,-3.07856827913314,3.33243845991561,"not.a.lemur"
"71",16,8,4.5,2.1,5683,1.03,11.4,0.4,7e-05,0,"herbivore","no","terrestrial","Australia","Diprotodontia","Phascolarctidae","Phascolarctos cinereus",1.20411998265592,-1.65822807660353,3.75457765604473,"not.a.lemur"
"72",4,11,11,1.44,1725,0.7,3.8,0.3,2e-04,0,"herbivore","yes","terrestrial","Australia","Diprotodontia","Potoroidae7","Bettongia gaimardi",0.602059991327962,-3.17805383034795,3.23678909940929,"not.a.lemur"
"73",3,10,14,1.41,1047,1.27,1.4,0.3,3e-04,0,"omnivore","yes","terrestrial","Australia","Diprotodontia","Potoroidae7","Potorous tridactylus",0.477121254719662,-3.47609868983527,3.01994668167884,"not.a.lemur"
"74",3,4.5,12.5,1.03,910,3.5,7.3,0.6,7e-04,0,"herbivore","no","terrestrial","Australia","Diprotodontia","Pseudocheiridae8","Pseudocheirus peregrinus",0.477121254719662,-3.47609868983527,2.95904139232109,"not.a.lemur"
"75",15.6,10,1.5,2.07,3961,1.42,0.9,337,0.09,3,"herbivore","yes","terrestrial","other","Lagomorpha","Leporidae","Lepus europaeus",1.19312459835446,-1.68829648734642,3.59780484240429,"not.a.lemur"
"76",15.2,10.3,1.8,2.06,1444,1.02,0.9,219,0.15,0,"herbivore","yes","terrestrial","other","Lagomorpha","Leporidae","Oryctolagus cuniculus",1.18184358794477,-1.71900011494563,3.15956719323362,"not.a.lemur"
"77",14.4,15.8,2.7,2.34,1237,0.9,0.8,176,0.14,1,"herbivore","no","terrestrial","other","Lagomorpha","Leporidae","Sylvilagus floridanus",1.15836249209525,-1.78245707656574,3.09236969962912,"not.a.lemur"
"78",22.2,8.2,3.7,2.65,1268,1,3.5,0.6,5e-04,0,"carnivore","no","aquatic","Australia","Monotremata","Ornithorhynchidae","Ornithorhynchus anatinus",1.34635297445064,-1.25404914230611,3.10311925354571,"not.a.lemur"
"79",31,12.4,2.3,3.64,3600,0.77,3,0.3,8e-05,0,"carnivore","yes","terrestrial","Australia","Monotremata","Tachyglossidae","Tachyglossus aculeatus",1.49136169383427,-0.800119300112113,3.55630250076729,"not.a.lemur"
"80",10,9,6.9,1.71,877,0.42,2.3,0.7,8e-04,0,"omnivore","no","terrestrial","Australia","Peramelemorphia","Paramelidae","Isoodon macrourus",1,-2.19722457733622,2.94299959336604,"not.a.lemur"
"81",8,9.5,3.3,1.42,736,0.4,2.5,0.5,7e-04,0,"omnivore","no","terrestrial","Australia","Peramelemorphia","Paramelidae","Paremeles gunnii",0.903089986991944,-2.4423470353692,2.8668778143375,"not.a.lemur"
"82",1.8,1.7,5.9,0.5,250000,11.97,13,29167,0.12,3,"herbivore","yes","terrestrial","other","Perrissodactyla","Equidae","Equus asinus",0.255272505103306,-3.9992195504583,5.39794000867204,"not.a.lemur"
"83",2.2,1.6,7,0.57,276000,12.16,10.8,32292,0.12,3,"herbivore","yes","terrestrial","other","Perrissodactyla","Equidae","Equus burchellii",0.342422680822206,-3.7944672166765,5.44090908206522,"not.a.lemur"
"84",1.5,1.6,6.7,0.5,250000,11.5,10.5,30000,0.12,3,"herbivore","yes","terrestrial","other","Perrissodactyla","Equidae","Equus ferus przewalskii",0.176091259055681,-4.18459144006988,5.39794000867204,"not.a.lemur"
"85",1,1.6,6.9,0.46,262000,12.02,10,30000,0.01,3,"herbivore","yes","terrestrial","other","Perrissodactyla","Equidae","Equus zebra",0,-4.59511985013459,5.41830129131975,"not.a.lemur"
"86",0.2,1.4,6.6,0.36,884000,16.12,19.9,34167,0.04,2,"herbivore","yes","terrestrial","other","Perrissodactyla","Rhinocerotidae","Diceros bicornis",-0.698970004336019,-6.21260609575152,5.94645226501307,"not.a.lemur"
"87",1.9,4.6,5.3,0.65,3e+05,13.17,12,9400,0.03,3,"herbivore","no","terrestrial","other","Perrissodactyla","Tapiridae","Tapirus bairdii",0.278753600952829,-3.94413348039892,5.47712125471966,"not.a.lemur"
"88",3.9,4.4,5.3,0.82,187500,13.18,9.5,5418,0.03,3,"omnivore","no","terrestrial","other","Perrissodactyla","Tapiridae","Tapirus terrestris",0.591064607026499,-3.20441276284065,5.27300127206374,"not.a.lemur"
"89",1.1,1.9,6.6,0.47,5390,6.37,12.3,354,0.07,2,"herbivore","no","terrestrial","other","Primates","Atelidae12","Aloutta seniculus",0.0413926851582251,-4.49879905882434,3.73158876518674,"not.a.lemur"
"90",1.6,2.2,6.7,0.54,6400,6.22,14.2,369,0.06,2,"herbivore","no","terrestrial","other","Primates","Atelidae12","Aloutta palliata",0.204119982655925,-4.11903717481247,3.80617997398389,"not.a.lemur"
"91",3.6,2.7,7.4,0.78,323,4.9,5.4,61,0.19,2,"omnivore","no","terrestrial","other","Primates","Callitrichidae","Callithrix jacchus",0.556302500767287,-3.28757235615443,2.5092025223311,"not.a.lemur"
"92",10.2,3,6.8,1.37,570,4.35,4.3,107,0.19,2,"omnivore","no","terrestrial","other","Primates","Callitrichidae","Leontopithecus rosalia",1.00860017176192,-2.17519725501793,2.75587485567249,"not.a.lemur"
"93",4.6,3.6,7,0.91,750,4.5,5,107,0.14,2,"omnivore","no","terrestrial","other","Primates","Cebidae","Saimiri boliviensis boliviensis",0.662757831681574,-3.03202227495919,2.8750612633917,"not.a.lemur"
"94",3.1,1.6,8.5,0.71,5750,5.5,8.5,318,0.06,2,"omnivore","no","terrestrial","other","Primates","Cercopithecidae","Chlorocebus pygerythrus",0.491361693834273,-3.44227740740562,3.75966784468963,"not.a.lemur"
"95",5.2,1.6,NA,NA,3233,5.49,9.6,408,0.13,2,"carnivore","no","terrestrial","other","Primates","Cercopithecidae","Macaca fascicularis",0.716003343634799,-2.90311078367359,3.50960570461156,"not.a.lemur"
"96",4.2,1.6,6.2,0.72,10750,5.72,12.1,672,0.06,2,"omnivore","no","terrestrial","other","Primates","Cercopithecidae","Macaca fuscata",0.6232492903979,-3.12717815968749,4.03140846425162,"not.a.lemur"
"97",6.2,2.1,7.5,0.98,5140,5.47,9.5,476,0.09,2,"omnivore","no","terrestrial","other","Primates","Cercopithecidae","Macaca mulatta",0.792391689498254,-2.71661556396113,3.71096311899528,"not.a.lemur"
